user_id,episode_id,listen_duration,age,gender,country,title,category,age_group
6,3,900,59,male,Morocco,Episode 3,Society,45+
19,5,60,42,male,Egypt,Episode 5,Politics,35-44
9,24,1500,43,female,Egypt,Episode 24,Society,35-44
6,21,300,59,male,Morocco,Episode 21,Society,45+
19,16,300,42,male,Egypt,Episode 16,Politics,35-44
20,29,300,32,female,Egypt,Episode 29,Sports,25-34
9,8,300,43,female,Egypt,Episode 8,Sports,35-44
1,22,900,38,female,Morocco,Episode 22,Society,35-44
16,8,900,24,female,Saudi Arabia,Episode 8,Sports,<25
20,6,60,32,female,Egypt,Episode 6,Society,25-34
15,8,1800,42,male,UAE,Episode 8,Sports,35-44
8,24,1500,45,female,Jordan,Episode 24,Society,45+
12,7,0,52,female,Jordan,Episode 7,Religion,45+
12,2,0,52,female,Jordan,Episode 2,Technology,45+
14,27,1800,19,female,Morocco,Episode 27,News,<25
18,20,60,52,male,Saudi Arabia,Episode 20,Society,45+
9,14,1500,43,female,Egypt,Episode 14,Society,35-44
6,4,60,59,male,Morocco,Episode 4,News,45+
2,23,1800,30,female,Jordan,Episode 23,Sports,25-34
4,14,60,57,female,Egypt,Episode 14,Society,45+
15,4,1800,42,male,UAE,Episode 4,News,35-44
6,28,60,59,male,Morocco,Episode 28,News,45+
7,27,300,30,male,Egypt,Episode 27,News,25-34
18,6,900,52,male,Saudi Arabia,Episode 6,Society,45+
11,25,900,41,male,Morocco,Episode 25,Sports,35-44
15,7,900,42,male,UAE,Episode 7,Religion,35-44
7,25,120,30,male,Egypt,Episode 25,Sports,25-34
16,16,0,24,female,Saudi Arabia,Episode 16,Politics,<25
10,9,60,44,male,Jordan,Episode 9,Sports,35-44
17,9,120,21,male,Saudi Arabia,Episode 9,Sports,<25
16,27,1800,24,female,Saudi Arabia,Episode 27,News,<25
2,9,900,30,female,Jordan,Episode 9,Sports,25-34
15,26,300,42,male,UAE,Episode 26,Technology,35-44
3,29,120,42,male,Saudi Arabia,Episode 29,Sports,35-44
7,29,1800,30,male,Egypt,Episode 29,Sports,25-34
2,6,300,30,female,Jordan,Episode 6,Society,25-34
16,28,900,24,female,Saudi Arabia,Episode 28,News,<25
19,9,60,42,male,Egypt,Episode 9,Sports,35-44
12,2,1500,52,female,Jordan,Episode 2,Technology,45+
1,1,1800,38,female,Morocco,Episode 1,Religion,35-44
15,16,900,42,male,UAE,Episode 16,Politics,35-44
